物料编码;零部件编号;零部件名称;图纸编号/图纸备注;材料/规格;单位;数量;采购类别;VENDOR;标准质保（类别）;海外标准质保要求;标准质保;海外协议签署情况;通则签署情况;供应商质保;标准质保差;质保需求;质保差;故障率;工时;成本价;售后成本;标准质保差;标准质保为1年的延保材料费;标准质保为1年的延保工时费;标准质保为2年的延保材料费;标准质保为2年的延保工时费;标准质保为5年的延保材料费;标准质保为5年的延保工时费;延保换件材料费;延保换件工时费;类别;备注;Vendor Description;P/N(供应商零部件编号);第二供应商信息;Second Vendor Description;SORT;Assembly Station(装配位置);Remark(备注);Remark English Description;New developed part(是否为新开发件);Technical state confirmation(技术状态确定);Section(科室);部门
12060165-00;\;保温棉;;;;;;东莞市双宇新材料科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12066544-00;K9RB-5526231;残疾人上车请求按钮;;;;;;苏州凯本隆电子有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12072551-00;BYDQ825080808F70;锁母式三通管接头;;;;2;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12072563-00;BYDQ825080612F70;锁母式变径三通管接头;;;;1;;海盐县海管管件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12073461-00;K7M-3513080B;20L储气筒总成;;;;;;麻城市博远制动科技有限公司/余姚市展欣汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12079638-00;K9U-5207010;洗涤器本体;;;;;;DOGA Italia SRL/ 道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12084548-00;K9U-5311012;K9U-5311012_氮气弹簧_M00000;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12084549-00;K9U-5311013;K9U-5311013_电磁阀_M00000;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12087295-00;K8A-7911100;车外扬声器;;;;;;鹤壁市亚华电器有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12096821-00;K9UB-2801112A;拖钩圆钢;;;;1;;厦门市协晟工贸有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12096943-00;T8SA-3505020;制动信号压力开关;;;;1;;瑞立集团瑞安汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12099030-00;K11U-3792180;K11U-3792180_ECAS侧跪和复位开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12119917-00;/;保险丝_EV305-6FL_1000V_50A;;;;;;比亚迪汽车工业有限公司_十四部_深圳电控工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12124714-00;Q2713516F61;十字槽盘头自攻螺钉;;;;2;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12139700-00;BYDQ372C0614F3A;六角通孔铆螺母;;;;;;上海安字实业有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12139797-00;K11U-3404300;K11U-3404300_万向节总成_M00000;;;;;;十五部深圳气囊工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12144241-00;K9UB-3526010C;手制动阀总成;;;;;;采埃孚商用车系统(青岛)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12147096-00;C7A-3600010;网关控制器;;;;1;;第十四事业部电喷工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12147652-00;Q40212T28F61;大垫圈;;;;8;;温州市尖端标准件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12164626-00;K9U-2813411;K9U-2813411_前拖钩座_M00000;;;;;;/;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12170534-00;TK-5916211;鸭嘴阀;;;;;;东莞市华创橡胶制品有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12176999-00;K9M-5207118;洗涤器转接线;;;;;;DOGA Italia SRL/ 道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12209880-00;K10MR-3404030;转向角传动器总成;;;;;;江门市兴江转向器有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12210833-00;BYDQ4480614F32;结构型平圆头盲拉铆钉;;;;;;豪梅特紧固件系统（苏州）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12211605-00;BYDQ67B08350;捆扎紧箍带;;;;40;;诺马连接技术（常州）有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12211606-00;BYDQ67B08400;捆扎紧箍带;;;;200;;诺马连接技术（常州）有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12211608-00;BYDQ67C13250;双头固定式紧箍带;;;;10;;诺马连接技术（常州）有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12220334-00;BYDQ4490622F32A;BYDQ4490622F32A_结构型沉头盲拉铆钉_MGL10;;;;2;;无锡市三星铆钉厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12224459-00;MFT-03-011;粘接密封条11;;;;;;东莞市华创橡胶制品有限公司/河北昊能汽车配件科技有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12227183-00;MFT-386;塑胶条_MFT-386;;;;;;GERFLOR;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12227184-00;MFT-385;塑胶条_MFT-385;;;;;;GERFLOR;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12237309-00;Q40112T28F61;平垫圈;;;;4;;浙江云端汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12240940-00;K11U-5205200;右刮臂总成;;;;;;道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12240941-00;K11U-5205100;左刮臂总成;;;;;;道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12240942-00;K11U-5205300;连杆机构总成;;;;;;道佳(南通)汽车零配件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12245085-00;Q351B14;六角锁紧螺母;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12253821-00;Q40308F61;弹簧垫圈;;;;8;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12253822-00;Q40108T28F61;平垫圈;;;;8;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12254072-00;K9RB-2935010;K9RB-2935010_后空气弹簧_M00666;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12254390-00;Q40206T16F3A;大垫圈;;;;36;;温州市尖端标准件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12254396-00;Q40212T28F61K;大垫圈;;;;18;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12254410-00;Q340B08T2F61K;1型六角螺母;;;;12;;上海上标集团紧固件有限公司,浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12254411-00;Q340B10T2F61K;1型六角螺母_M10×1.5,8级,低摩擦环保达克罗;;;;;;上海上标集团紧固件有限公司/浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12254606-00;TK-6206122A;四连杆铰链Ⅰ;;;;;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12256774-00;TK-6206215;左单轴铰链022;;;;;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12256775-00;TK-6206216;右单轴铰链022;;;;;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12257132-00;Q151B1440TF61K;六角头螺栓;;;;;;浙江云端汽车部件有限公司,温州市尖端标准件有限公司,上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12257201-00;Q33014T13F61KP1.5;全金属六角法兰面锁紧螺母;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12257202-00;Q32010T13F61K;六角法兰面螺母;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身;;;;;;;
12257203-00;Q151B1645TF61K;Q151B1645TF61KP1.5_六角头螺栓_M16×1.5,1;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12257207-00;Q1840860T1F61K;六角法兰面螺栓;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12257208-00;Q1840880T1F61K;六角法兰面螺栓;;;;4;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12257209-00;Q1841025T1F61K;六角法兰面螺栓;;;;4;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12257480-00;Q1840640T1F61K;六角法兰面螺栓;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12257515-00;K9U-3513030;自动放水阀总成;;;;1;;瀚德汽车产品(苏州)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12257539-00;Q1840520T1F61K;六角法兰面螺栓;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12257661-00;C9C-3921213A;零排放字标;;;;;;南京华世立汽车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12259498-00;Q1840610T1F61K;六角法兰面螺栓;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12260659-00;Q340B04T2F61K;1型六角螺母;;;;2;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12260680-00;Q340B03T2F61K;1型六角螺母;;;;;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12260692-00;Q150B1250TF61K;六角头螺栓;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12260714-00;Q2724295F62K;十字槽盘头自攻螺钉_F型;;;;;;浙江云端汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12266094-00;Q150B1230TF61K;六角头螺栓;;;;8;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12266104-00;Q2140416F61;十字槽盘头螺钉;;;;;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12266128-00;Q1840840T1F61K;六角法兰面螺栓;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12266943-00;Q150B1260TF61K;六角头螺栓_M12X60,10.9级,低摩擦环保达克罗,P1.75;;;;;;上海科曼车辆部件系统有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12266969-00;Q1841030T1F61K;六角法兰面螺栓;;;;;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12266991-00;Q40118T28F61K;平垫圈_d=18,钢300HV,低摩擦环保达克罗银色-摩擦系数0.08~0.14;;;;;;上海科曼车辆部件系统股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12267003-00;Q151B1865T32F61K;Q151B1865T32F61K_六角头螺栓_M18×1.5,12.;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12273816-00;Q1840835T1F61K;六角法兰面螺栓;;;;8;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12273819-00;Q1841020T1F61K;六角法兰面螺栓;;;;3;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身;;;;;;;
12276854-00;Q150B0612T1F61K;六角头螺栓;;;;18;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12277573-00;K7E-2813211;挡泥板211;;;;2;;河北东正机动车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12282018-00;Q151B2045TF61K;六角头螺栓;;;;;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12282019-00;Q1841035T1F61K;六角法兰面螺栓;;;;;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12282023-00;Q1841025TF61K;六角法兰面螺栓;;;;4;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12282024-00;Q1841235TF61K;六角法兰面螺栓;;;;;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12282025-00;Q33012T13F61K;全金属六角法兰面锁紧螺母;;;;4;;比亚迪汽车工业有限公司_十四部_深圳电控工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12282038-00;Q40206T27F61;大垫圈;;;;4;;浙江云端汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12282039-00;Q40216T28F61;大垫圈;;;;;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12282042-00;Q1841245TF61K;六角法兰面螺栓;;;;54;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12282044-00;Q33410T13F61K;1型全金属六角锁紧螺母;;;;;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12282060-00;Q40306F61;弹簧垫圈;;;;5;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12282061-00;Q40314F61;弹簧垫圈;;;;;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12285493-00;TK-6206217;合页铰链2;;;;;;慈溪市丞展五金有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12294320-00;K9-3792510A;K9-3792510A_外后视镜加热开关_M00666;;;;;;十五部西安电器厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12300702-00;Q32010T2F61K;六角法兰面螺母;;;;2;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
12300710-00;Q150B0620T1F61K;六角头螺栓;;;;2;;上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12300964-00;Q32808T2F3A;1型非金属嵌件六角锁紧螺母;;;;6;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12302905-00;TK-6206227;单轴铰链028;;;;2;;宁波丞展汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12308162-00;Q40106T16F61;平垫圈;;;;2;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12317717-00;Q1840525T1F61K;六角法兰面螺栓;;;;;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12317733-00;Q1840512T1F61K;六角法兰面螺栓;;;;4;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12317766-00;Q40110T28F61;平垫圈;;;;4;;浙江云端汽车部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
12331458-00;K9UD-2916223;吊杆支架;;;;2;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12335814-00;TD-8041-20m×24mm×2mm;地板革;;;;;;浙江通达塑业有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12335824-00;TD-8041-20m×44mm×2mm;地板革;;;;;;浙江通达塑业有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12335825-00;TD-8041-20m×2m×2mm;地板革;;;;;;浙江通达塑业有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12343229-00;K9U-3860010;车载终端;;;;1;;高新兴科技集团股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12385193-00;Q40205T27F61;大垫圈;;;;2;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12391682-00;K7U-8101663A;L型橡胶管;;;;2;;上海新上橡汽车胶管有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12395441-00;Q341B08T2F3A;1型六角螺母;;;;;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12397802-00;BJ-6727-24m×2m×2.25mm;地板革_BJ-6727-24m×2m×2.25mm_深灰;;;;;;GERFLOR;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12431322-00;Q1840820TF61K;六角法兰面螺栓;;;;2;;上海上标集团紧固件有限公司,浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件;;;;;;;
12431367-00;Q32004T2F61K;六角法兰面螺母;;;;2;;浙江云端汽车部件有限公司,上海上标集团紧固件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12431642-00;Q2140516F61;十字槽盘头螺钉;;;;;;浙江云端汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12432724-00;Q2360320F61;十字槽盘头螺钉、弹簧垫圈和平垫圈组合件;;;;;;温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12432897-00;K9UB-3850110;车辆行驶记录仪支架;;;;;;ContinentalAutomotiveTradingB.V.;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
12436535-00;K9UB-3772030A;K9UB-3772030A_灯光开关组_M00000;;;;;;慈溪市腾辉汽车零部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12437874-00;Q1841240T1F61;六角法兰面螺栓;;;;24;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
12444161-00;C9A-3630310B;ABS轮速传感器;;;;;;采埃孚传动技术（苏州）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12444397-00;BYDQ674A04168;塑料紧箍带;;;;;;风帆紧固件（绍兴)有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12449065-00;TD7MA-2152812;通讯转换模块;;;;;;深圳市瑞凯诺科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;三电;;;;;;;
12452780-00;K7M-2304010;K7M-2304010_左转向横拉杆总成_M00000;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12452781-00;K7M-2304030;K7M-2304030_右转向横拉杆总成_M00000;;;;;;采埃孚传动技术（苏州）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12452866-00;K10B-3513020B;30L储气筒总成;;;;1;;麻城市博远制动科技有限公司/余姚市展欣汽车部件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12452939-00;Q40208T27F61;大垫圈;;;;4;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12458298-00;C6-3408100;C6-3408100_转向油罐滤芯_M00000;;;;;;象山恒峰汽车零部件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12461951-00;Q40210T28F61;Q40210T28F61_大垫圈_M10,300HV,环保达克罗;;;;68;;上海上标集团紧固件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12464459-00;BYDQ675130F32A;A型蜗杆传动式软管环箍;;;;4;;天津市鹤鼎工贸有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12464465-00;BYDQ67560F32A;A型蜗杆传动式软管环箍;;;;;;天津市鹤鼎工贸有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12472781-00;K9UB-4002120;预留小线3;;;;3;;第十五事业部线束深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12472792-00;K9UB-4002119;预留小线2;;;;4;;第十五事业部线束深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12472793-00;K9UB-4002118;预留小线1;;;;5;;第十五事业部线束深圳工厂;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12477193-00;K10B-1303241;非成型软管1;;;;3;;天津滨海新区大港天力胶管有限公司/上海新上橡汽车胶管有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12488673-00;K9UD-1108010;电子油门踏板总成;;;;;;威廉姆斯(苏州)控制系统有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
12493285-00;TK-8101789;密封海绵;;;;3;;镇江长江汽车内饰件有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
12500008-00;ZPA7.3×160D7×12;卡扣式紧固带;;;;;;十五部深圳线束厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505678-00;K9FE-3509361;K9FE-3509361_联轴器弹性垫_M00000;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505691-00;K9FE-3509351;K9FE-3509351_油封组件_M00000;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505710-00;K9FE-3509331B;K9FE-3509331B_O型圈_M00000;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505715-00;K9FE-3509331A;K9FE-3509331A_O型圈_M00000;;;;;;耐力股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505716-00;K9FE-3509111A;K9FE-3509111A_空滤芯_M00000;;;;;;耐力股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12505726-00;K9FE-3509321;K9FE-3509321_油分芯_M00000;;;;;;耐力股份有限公司;保养件;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12511530-00;TK-5308191;电磁锁;;;;1;;温州华弘汽车锁系统有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 INTERIOR;;;;;;;
12514935-00;TK-5526117AE;四通;;;;;;无锡市宏宇汽车配件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
12514936-00;TK-5526116AE;三通;;;;;;无锡市宏宇汽车配件制造有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
